Platform,Tier,Harga (USD/mo),RAM (GB),Storage (GB),Slot Pemain,Uptime (%),vCPU
Aternos,Free,0.0,0.004761567361205581,0.00058663832015356,0.00132161180773948,0.025460984100596374,0.00577778411828508
Minefort,Free,0.0,0.004761567361205581,0.00058663832015356,0.00132161180773948,0.024562361132340026,0.00577778411828508
Server.pro,Free,0.0,0.004761567361205581,0.00117327664030712,0.00066080590386974,0.023963279153502475,0.00577778411828508
FalixNodes,Free,0.0,0.00238078368060278,0.00058663832015356,0.00052864472309579,0.0233641971746649,0.00577778411828508
ScalaCube,Free,0.0,0.00238078368060278,0.00093862131224569,0.00066080590386974,0.023963279153502475,0.00577778411828508
Minefort,Paid,0.004890895001620181,0.009523134722411161,0.00469310656122849,0.00264322361547896,0.026958689047690276,0.011555568236570175
Server.pro,Premium+,0.00587103428050198,0.0071423510418083605,0.00234655328061424,0.00132161180773948,0.027557771026527823,0.011555568236570175
Server.pro,Extreme,0.01175186995379276,0.014284702083616742,0.00469310656122849,0.00264322361547896,0.028456393994784175,0.01733335235485527
Shockbyte,Dirt,0.00245034819720448,0.00238078368060278,0.00117327664030712,0.00132161180773948,0.0298043284471687,0.00577778411828508
Shockbyte,Stone,0.004900696394408981,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0298043284471687,0.00577778411828508
Shockbyte,Iron,0.00980139278881798,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0298043284471687,0.011555568236570175
Shockbyte,Gold,0.019602785577635982,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0298043284471687,0.011555568236570175
Shockbyte,Titan,0.039205571155271984,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0298043284471687,0.02311113647314035
BisectHosting,Budget,0.0029306164438565804,0.004761567361205581,0.00234655328061424,0.00264322361547896,0.0299241448429362,0.011555568236570175
BisectHosting,Premium4GB,0.00979159139602918,0.009523134722411161,0.00469310656122849,0.00528644723095793,0.0299241448429362,0.011555568236570175
BisectHosting,Premium8GB,0.018612844905965358,0.019046269444822322,0.009386213122456992,0.01057289446191586,0.0299241448429362,0.02311113647314035
BisectHosting,Premium16GB,0.03527521264695596,0.038092538889644645,0.01877242624491399,0.02114578892383172,0.0299241448429362,0.02311113647314035
